message,historical_severity,system
CPU usage high on database server,critical,database
Database replication lag detected,critical,database
Multiple failed login attempts detected,critical,backend
Backend API error rate increased,critical,backend
Network packet loss detected on core router,critical,network
Frontend page load latency exceeds threshold,critical,frontend
Nightly backup completed successfully,informational,storage
Routine maintenance notice for storage cluster,informational,storage
Email digest sent successfully,informational,email
Scheduled system backup completed,informational,storage
User password reset confirmation sent,informational,email
Service restarted after planned maintenance,informational,backend
False alarm from monitoring sensor,false_positive,network
Duplicate alert cleared automatically,false_positive,frontend
Test notification generated by monitoring tool,false_positive,email
Heartbeat check misfire,false_positive,backend
Synthetic probe created invalid alert,false_positive,network
Temporary sensor glitch detected,false_positive,storage
